title,content,public,date,image,user_id
KT 개막전,"야구 개막식 즐거운 하루!
열심히 응원했는데, 승리까지 해서 너무 기분이 좋았다.",1,2022-04-02,media/KakaoTalk_20220506_161245814.jpg,user10
처음 보는 면접,"생각지도 않은 면접 일정이 잡혀서 하루 종일 긴장이 되었다.
잘 마무리 하고 온 것 같기도 하고 아닌 것 같기도 하고",1,2022-04-23,media/map_kakao.png,user10
에이블 잡페어 데이!,"기다리던 에이블러 잡페어 데이를 맞았다.
다들 너무 반가웠고 행복한 하루였다.",1,2022-04-08,media/KakaoTalk_20220430_142149723.jpg,user10
빅프로젝트가 지난지 얼마 안됐다.,하루하루 너무 고통스럽다. 내가 잘 해낼 수 있을까 걱정이 된다.,1,2022-04-19,,user10
이모티콘,"오늘은 귀여운 이모티콘을 그려보았다.
친구들이 너무 귀엽다고 칭찬을 해주었다.",1,2022-01-10,media/emotion_13.png,user10
여의도 글래드,오늘은 수업이 끝나고 여의도 글래드 호텔에서 친구가 밥을사줬다.  친동생 진로상담해주고 오랫만에 스테이크를 마구썰었다! 근데 글래드 뷔페는 별로인것같다..,1,2022-04-29,media/img.jpg,user10
에이블 스쿨 1주차,"KT 에이블 스쿨을 들은지도 어엿 1주차다..
힘들기도하지만 보람도 있는것같다.
시간이 빨리 갔으면 한다",1,2021-12-18,,user10
면접 ㅜ_ㅜ,오늘은 면접을 봤다. 잘 못본것같다. 슬프다. ㅜㅜ,1,2022-04-21,media/143533255780_20150628.jpg,user10
나는 오늘도 일기를쓴다,"나는 자주 일기를 쓴다. 하지만 매일 쓰지는 않는다. 일기를 쓰면 감정이 정리되서 좋다. 
나는 과거를 정리해서 기억으로 남기는것이 좋다.",1,2022-05-05,,user10
쿠우쿠우,"쿠우쿠우에 가서 초밥을 뚝딱뚝딱 쿰척쿰척 하고싶다.
열접시도 거뜬! 아이캔두디스올데이!",1,2022-01-15,media/1506044801366614.jpg,user10
마스크 벗고싶다,마스크는 너무 답답하다. 마스크를 벗고 빨리 돌아다닐 수 있었으면 좋겠다,1,2022-02-14,,user10
다이어리는 영어로 diary,"d.i.a.r.y왜 일기는 영어로 다이어리일까.
갑자기 궁금해졌다",1,2022-03-16,,user10
미국여행,"자유의여신상을 구경했는데, 너무 웅장했던 경험이 있습니다.
저는 이경험을 통해 가슴이 벅차올랐으며, 제 자신을 돌아보는 계기가 되었습니다.",1,2022-02-08,media/컴퓨터_배경화면5.jpeg,user10
코딩테스트,"오늘은 모 기업 코테를봤다. 어려웠지만 나름 잘 풀었다고 생각한다.
고생한 나에게 저녁은 맛있는걸 시켜야지!",1,2022-04-03,,user10
크리스마스 파티,"오늘은 크리스마스!
친구들과 함께 크리스마 파티를 했다.
맛있는 음식도 먹고 같이 크리스마스 쿠키도 구웠다. 
요 근래 가장 행복한 하루였다. ",1,2021-12-25,media/christmas.jpg,user2
행복한 크리스마스 파티,"오늘은 크리스마스!
친구들과 함께 크리스마 파티를 했다.
맛있는 음식도 먹고 같이 크리스마스 쿠키도 구웠다. 
요 근래 가장 행복한 하루였다. ",1,2021-12-25,media/christmas_Gb8uztL.jpg,user10
공포 영화는 무서워,오늘은 친구와 공포 영화를 보러 갔다. 인기가 많다고 해서 보러 갔는데 생각보다 너무 무서웠다. 악몽을 꾸면 어쩌지?,1,2022-01-04,media/horror_movie.jpg,user10
가위에 눌렸다.,오늘은 태어나서 처음으로 가위에 눌렸다. 움직일 수가 없어서 공포감이 들었다. 다행이 손가락 끝부터 움직이도록 노력해서 가위에서 풀렸다. 너무 무서운 경험이었다.,1,2022-02-23,,user10
귀신의 집,오늘은 놀이공원에 갔다. 친구가 졸라서 귀신의 집에 들어갔는데 너무 무서웠다. 귀신 분장을 하는 직원 분들이 너무나도 리얼하게 연기를 하셔서 심장이 밖으로 튀어나오는 줄 알았다. 다시는 안 갈 거다ㅠㅠ,1,2022-03-22,media/haunted_house.jpg,user10
열심히 한 과제를 날렸다.,며칠 밤을 새서 완성한 과제가 날아가버렸다. 정말 컴퓨터가 에러 메시지를 띄우는 순간부터 화가 치밀어 오르기 시작했다. 난 분명히 잘 저장을 했던 걸로 기억하는데 이게 무슨 일이지? 왜 파일이 깨진 거지? 정말 너무 화가 나서 컴퓨터를 던지고 싶은 심정이다. 욕이 나온다.,1,2022-03-14,,user10
동생이 내가 아끼는 물건을 잃어버렸다.,지가 필요하다고 해서 빌려줬더니 홀라당 잃어버리고 왔다. 아니 남의 것을 빌려갔으면 조심해서 사용해서 돌려줘야지 왜 그걸 잃어버리고 오냔 말이야. 화가 난다.,1,2022-01-25,,user10
억울한 하루,내가 하지도 않은 일에 대해 혼이 났다. 처음 보는 일에 대해 내 책임이라며 1시간을 넘게 욕을 먹었다. 아니 내가 한 게 아니라니까? 도대체 왜 저 인간은 내 말을 듣지를 않는 걸까. 화가 난다,1,2021-12-22,,user10
지인의 장례식,지인의 가족이 돌아가셔서 장례식에 참석하였다. 친구가 너무 슬퍼해서 나도 같이 눈물이 났다. 하루 종일 친구를 위로하고 집에 돌아왔는데 기분이 너무 울적하다. 친구가 금방 털고 일어나면 좋겠다.,1,2021-12-09,,user10
친구 병문안,친구가 아파서 입원을 했다. 병문안을 갔는데 수척한 친구의 모습이 너무 마음이 아팠다. 빨리 털고 일어나면 좋겠다. 슬픈 하루였다,1,2022-03-30,,user10
친구와 소풍,오늘은 한강으로 소풍을 다녀왔다. 날씨가 너무 좋아서 소풍을 갈 수밖에 없는 날이었다. 맛있는 도시락과 좋은 날씨의 조합은 행복 그 자체다.,1,2022-05-01,media/picnic.jpg,user10
기다리던 뮤지컬,"내가 기다리고 기다리던 뮤지컬을 드디어 보고 왔다. 뮤지컬을 보고 있으면 화려한 무대 장치와 배우들의 노래, 춤이 어우러져서 정말 행복해진다. 열심히 돈 벌어서 뮤지컬 많이 봐야지.",1,2022-04-05,,user10
맛있는 치킨,오늘은 오랜만에 치킨을 먹었다. 정말 오랜만에 먹는 치킨이라 입에서 상투스가 울려퍼지는 기분이었다. 치킨의 바삭함이 나에게 행복을 가져다 주었다. ,1,2022-04-25,media/chicken.jpg,user10
맛있는 커피,집 앞 카페에 신메뉴가 나왔길래 먹었는데 너무 맛있었다. 평소에는 아이스 아메리카노를 많이 마시지만 가끔 이런 달달한 커피도 맛있는 것 같다. 달달한 음료 한 잔이면 기분이 좋아진다.,1,2022-04-12,media/coffee.jpg,user10
산책을 하다 귀여운 강아지를 만났다.,아파드 단지를 산책하는데 오늘따라 강아지들이 많아 보였다. 강아지들이 나를 보고 나에게 인사를 하는데 너무 귀여워서 행복했다. 나도 나중에 강아지를 키우고 싶다. 귀여운 건 사랑이야.,1,2022-03-10,media/dog.jpg,user10
친구네 고양이,친구네 집에 고양이를 보러 갔다. 처음 만난 고양이였는데 고양이가 친화력이 좋아서 나한테도 잘 안겼다. 정말 귀여웠다. 부러운 친구 녀석. ,1,2022-03-24,media/cat.jpg,user10
바다 여행,오랜만에 바다 여행을 갔다. 시원한 해변에서 바닷바람을 맞으면서 걷는 것처럼 행복한 일이 없는 것 같다. 산책을 하다가 바다에 들어가서 수영을 하니까 시원하고 너무 즐거웠다. 역시 바닷다 여행이 최고야.,1,2022-05-04,media/beach.jpg,user10
친구들이 서프라이즈 생일 파티를 해줬다,생각도 못하고 있었는데 친구 집에 갔더니 친구들이 깜짝 생일 파티를 해주었다. 문을 열고 들어갔는데 폭죽과 생일 축하 노래가 시작되어 너무 놀랐다. 정말 즐거운 생일 파티였다. ,1,2022-02-10,media/birthday.jpg,user10
평범한 하루,회사를 갔다 퇴근하고 저녁을 먹고 휴대폰을 보다 잠에 들었다. 평범한 날이었다. 특별한 일 없이 무난한 하루.,1,2022-02-20,,user10
산책,오늘은 퇴근하고 산책을 했다. 요즘은 퇴근하고 매일 산책을 하려고 하는 중이다. 움직여야 살지.,1,2022-01-19,media/walk.jpg,user10
과제 폭탄,친구들과 모여서 학교에서 과제를 했다. 교수님은 과제를 좀 덜 내주시면 좋겠다. 왜 과제를 이렇게 많이 내주시는 걸까. ,1,2022-01-13,media/homework.jpg,user10
지하철 빌런,지하철에서 옆 자리 인간이 계속 다리를 벌려서 내 자리를 침범해서 볼쾌했다. 더러워. 니 자리로 돌아가. 다리 오무려,1,2022-02-17,media/subway.jpg,user10
맛없고 불쾌한 점심,새로 생긴 음식점이 있어서 친구들과 함께 점심을 먹으러 갔다. 그런데 맛이 너무 없고 직원도 너무 불친절했다. 심지어 위생도 안 좋아 저런 인간들이 왜 장사를 하는 건지 의문이다. 망했으면.,1,2022-01-27,,user10
맛있는 점심,"내가 정말 좋아하는 마라탕을 점심으로 먹었다. 
오랜만에 먹으니까 더 맛있었다. 행복한 점심 시간이었다.",1,2022-02-21,,user10
즐거운 수영,"내가 제일 좋아하는 운동 수영!
요즘  잘 못갔는데 오랜만에 수영을 하니까 몸도 풀리는 것 같고 좋았다.
이제 자주 와서 수영해야지 신난다.",1,2022-02-12,media/swimming-pool.jpg,user10
슬픈 하루,오늘 키우던 반려 동물이 죽었다. 오랜 시간 내 옆을 지켜주던 아이가 이제 내 옆에 없을 거라고 생각하니 눈물만 난다. 너무 슬프다.,1,2022-02-06,,user10
슬픈 점심,"오늘 내가 좋아하는 음식점에 갔는데 좋아하 메뉴가 품절이었다.
점심 시간만 기다리는 나한테는 너무 슬픈 소식.
내일은 꼭 먹을 수 있으면 좋겠다.",1,2022-02-15,,user10
슬픈 저녁,"오늘 내가 꼭 가고싶었던 공연의 티켓팅에 실패했다.
이번이 아니면 가기 힘든데... 너무 슬프다. 나도 가고 싶은데 왜 못가냐고ㅠㅠ",1,2022-01-16,media/ticket.jpg,user10
너무 슬프다,"오늘 정말 기대하던 시험 결과를 받았는데 탈락을 했다.
이번에는 붙을 줄 알았는데... 슬퍼서 밥도 안 넘어갔다. ",1,2022-01-07,,user10
오늘은 슬픈 하루,"내가 먹고 싶었던 쿠키가 다 품절돼서 못  샀다.
나도 쿠키 먹고 싶다. 내일은 살 수 있을까?",1,2022-04-27,media/cookies.jpg,user10
수통시간,"얼마전에 대학교 때 사진을 보았다.
친구랑 칠판을 지우고 있는 사진이었는데 어쩌다가 인간 지우개가 되었는지 모르겠다ㅋㅋ
간만에 사진보고 친구랑 우리 왜 이러고 있는거냐고 얘기하고 재밌었다.",1,2022-05-04,media/칠판.JPG,user8
헬요일,"지난 주에는 서울숲에 놀러갔다.
토요일은 밖에 나가지 않아야 한다는 것을 배웠다..
버스는 연착되고 길은 밀려서 안절부절,,
어찌저찌 약속 시간 30분 미뤄서 잘 도착했다.",1,2022-04-30,,user8
새똥,"커피사러 가다가 새똥 맞았다.
웃겨서 친구들에게 바로 알렸더니 재작년에도 한번 맞았다했다.
잊고 있었는데 이정도면 2년 주기로 새똥 맞는게 연례 행사인듯싶다.",1,2022-04-24,media/새똥.jpg,user8
억울함과 콜라,"분당에서 조별 프로젝트를 했다.
점심에 만두전골을 먹었는데 아주머니가 칼국수 눌러붙는다고 저어야한다 말씀하셨다.
나는 젓고 있었다고 항변하며 억울하다 말씀드리니 아주머니가 콜라를 주셨다ㅋㅋ
장난반 진심반이었는데... 콜라를 주셔서 감사하고 당황스러웠다ㅎㅋㅋ",1,2022-04-25,media/만두전골.jpg,user8
잡페어,"오늘은 잡페어날인데 마침 잠실에 벨리곰이 전시되었다.
대세..? 나도 놓칠 수 없지~
벨리곰도 보고 석촌호수도 한바퀴 돌면서 벚꽃을 구경했다.
날씨도 좋아서 기분이 더 좋았다.
",1,2022-04-28,media/벨리곰.jpg,user8
또 벚꽃,"오늘은 자격증 시험을 봤다.. 공부를 하긴 했지만 선택과 집중해서 은메달 따고 나왔다.
그러고는 언니오빠들 만나서 밥도 먹고 또 벚꽃을 보았다.
오늘은 양재천에 가서 벚꽃을 봤는데 나무가 촘촘해서 더 예뻤다!!
사람도 석촌호수보다 덜했는데 너무 덥고 한바퀴 돌고 지쳐서 카페로 요양갔다.
",1,2022-04-29,media/양재천.jpg,user8
야구장,"KT에서 야구 티켓을 주어서 에이블러들과 야구장에 다녀왔다.
친구가 수원 야구장에서는 보영 만두와 진미 치킨을 꼭 먹어야한다 했는데 사람이 너무 많아서 못먹을 것 같았다.
그런데!! 이전 매니저님이 보영 만두를 사오셔서 우리에게 나눠주었다.. 감동~
덕분에 보영 만두를 먹어볼 수 있었고 맛도 있었다!! 감사합니다 <3",1,2022-04-26,media/야구장.jpg,user8
보드 게임,"포항 사람들을 만나서 보드 게임 카페에 갔다.
영화관 컨셉의 카페였는데 스낵코너 있고 진짜 영화관 같았다.
열심히 2시간정도 놀고 나왔더니 대기 팀이 60팀이나 있었고 우리는 운이 좋았었나보다..~",1,2022-04-27,media/보드게임.jpg,user8
건입,"언니, 오빠랑 건대가서 방탈출을 했다.
원래 인기가 많은 곳인지 모르겠지만 사람들이 안에 꽉 차있어서 놀랐다.
1시간정도 방탈출 하고 피자집가서 피자랑 맥주를 먹었다. 맛있었다~",1,2022-05-01,media/피맥.jpg,user8
주말 목표,"이번 주말에는 집 밖을 나가지 않는게 목표였다.
열심히 목표를 지키고 있었는데 친구가 저녁 먹으러 나가자고 불러서 바로 오케이했다.
ㅋㅋㅋㅋ 불렀는데 안나가는 건 예의가 아니지~
아무튼 나가서 팟타이도 먹고 카페에 가서 얘기도 하다가 귀가했다.
중간에 웃긴일도 있었는데 친구를 위해 지켜주겠다.
",1,2022-04-23,media/집.jpg,user8
한강+따릉이,"친구랑 한강에 가서 따릉이를 탔다.
오전에 비가 와서 날씨가 맑지는 않았지만 오랜만에 따릉이를 타니까 좋았다.
서울에서 살아야하는 이유가 이거인듯 싶었다..
한강 좋아.....",1,2022-05-02,media/따릉이.jpg,user8
양꼬치 영접,"저녁에 사람들과 양꼬치를 먹었다.
사실 양꼬치를 별로 안좋아하는데 좋아하는 척하고 따라갔다.
근데 여기 양꼬치는 진짜 맛있어서 계속 먹었다..
우리 테이블에서 내가 젤 많이 먹었을지도^_^..",1,2022-05-03,media/양꼬치.jpg,user8
숙취와 함께한 놀이동산,"술먹은 다음날 경주월드에 갔다.
처음 가봤는데 재밌는 기구가 꽤 많고 사람도 없었다.
제일 재밌을 것 같은 크라크라는 기구를 탔는데,
거꾸로 매달려서 한바퀴를 돌다보니까 전날 먹은 술이 올라오는 것 같았다.
그치만 오렌지 주스로 다시 밀어 넣고 다른 기구들도 열심히 타고왔다.",1,2022-04-17,media/경주월드.jpg,user8
경주의 핫플레이스,"경주에서 요즘 핫하다는 황리단길에 다녀왔다.
수학여행으로 자주 가던 곳이라 별로 기대하지 않았는데
다시 가본 경주는 많이 바뀌어있었다!!
골목골목 맛있는 곳도 많고 볼거리도 많았다.
다시 또 오겠다고 다짐하며.. 맛있는거 사들고 학교로 돌아갔다.",1,2022-04-16,media/경주.jpg,user8
어려운 노벨이,"노벨이가 나에게 식빵을 구워줬다..
전날에는 분명 만지지 말라고 했는데 오늘은 또 만짐을 허용해줬다ㅋㅋ
어려운 노벨이... 그치만 귀여우니까 봐준다.",1,2022-04-20,media/노벨.jpg,user8
